,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
GPATCH21,6.79E-47,0.721124101,0.177,0.102,1.42E-42,1,GPATCH2
CCDC471,3.17E-44,0.310732178,0.216,0.129,6.65E-40,1,CCDC47
GSS,8.89E-43,0.967557211,0.073,0.031,1.86E-38,1,GSS
SPRED3,3.27E-36,0.485040501,0.126,0.072,6.86E-32,1,SPRED3
C12orf57,5.15E-34,0.458175559,0.197,0.127,1.08E-29,1,C12orf57
WRAP53,1.81E-31,0.145081511,0.318,0.228,3.80E-27,1,WRAP53
CNTNAP2-AS1,5.03E-28,0.583452231,0.197,0.136,1.06E-23,1,CNTNAP2-AS1
PRDM6-AS1,1.93E-26,0.208585707,0.166,0.11,4.06E-22,1,PRDM6-AS1
KLK10,6.66E-24,1.266503278,0.051,0.024,1.40E-19,1,KLK10
PGRMC2,6.17E-19,0.650590389,0.058,0.031,1.29E-14,1,PGRMC2
FNDC10,1.86E-17,0.901348102,0.071,0.042,3.91E-13,1,FNDC10
RCHY1,2.64E-17,0.351476452,0.225,0.172,5.54E-13,1,RCHY1
ZDHHC19,8.64E-17,0.866003339,0.072,0.044,1.81E-12,1,ZDHHC19
MROCKI,2.07E-16,0.497555893,0.178,0.133,4.34E-12,1,MROCKI
MMP9,8.96E-15,0.28037266,0.055,0.032,1.88E-10,1,MMP9
MEDAG,4.30E-14,0.682636999,0.035,0.018,9.02E-10,1,MEDAG
EML3,1.73E-12,0.616377667,0.115,0.083,3.64E-08,1,EML3
FOXJ21,6.62E-10,0.231699048,0.143,0.111,1.39E-05,1,FOXJ2
ACLY,1.46E-08,0.598905581,0.087,0.064,0.000305286,1,ACLY
SPATA45,2.29E-08,1.026501137,0.019,0.01,0.000480908,1,SPATA45
OBI1,7.06E-08,0.496625168,0.056,0.038,0.001479813,1,OBI1
HAUS8,6.43E-07,0.88575314,0.032,0.02,0.013489207,1,HAUS8
HPCAL4,9.88E-07,0.821122422,0.03,0.019,0.020729114,1,HPCAL4
ARPC5L,1.87E-06,0.874293753,0.021,0.012,0.039188645,1,ARPC5L
RHBG,2.69E-06,0.132661176,0.066,0.049,0.056321634,1,RHBG
CARNMT1,7.08E-06,0.348197967,0.052,0.037,0.148553041,1,CARNMT1
RBPJL,3.38E-05,1.214440178,0.01,0.005,0.709092839,1,RBPJL
STAG2,3.50E-05,0.138497727,0.073,0.095,0.734238943,1,STAG2
SACS,0.000944323,0.294828953,0.022,0.016,1,1,SACS
RHBDL2,0.005058069,0.148686626,0.144,0.129,1,1,RHBDL2
GSTA3,0.00619866,0.10093588,0.027,0.021,1,1,GSTA3
LGALS32,0,0.789786536,0.82,0.449,0,2,LGALS3
PTTG11,0,0.924226322,0.689,0.337,0,2,PTTG1
F101,0,0.257765402,0.923,0.589,0,2,F10
ANKRD262,0,1.015468285,0.681,0.357,0,2,ANKRD26
VWC2L2,0,0.977570421,0.855,0.534,0,2,VWC2L
GATAD2A1,0,1.222440483,0.677,0.387,0,2,GATAD2A
DSC12,1.68E-266,0.882295191,0.627,0.327,3.53E-262,2,DSC1
CTDP11,5.42E-222,0.889156733,0.542,0.281,1.14E-217,2,CTDP1
EMC41,2.31E-151,1.78708359,0.177,0.06,4.84E-147,2,EMC4
TMEM1382,1.66E-116,0.356965243,0.869,0.657,3.48E-112,2,TMEM138
UCMA1,1.42E-113,0.655930465,0.317,0.161,2.97E-109,2,UCMA
CCDC1061,3.90E-110,0.834918332,0.467,0.303,8.18E-106,2,CCDC106
TTC51,1.62E-104,1.142695413,0.235,0.114,3.39E-100,2,TTC5
LATS21,5.60E-82,0.384598167,0.707,0.499,1.17E-77,2,LATS2
NSUN51,1.05E-81,0.726539965,0.206,0.099,2.21E-77,2,NSUN5
SLC35D21,4.25E-75,0.104016667,0.592,0.385,8.92E-71,2,SLC35D2
NCEH12,7.76E-71,0.898588806,0.229,0.124,1.63E-66,2,NCEH1
EPHA21,1.44E-65,0.266752792,0.665,0.475,3.02E-61,2,EPHA2
NMT11,8.53E-62,0.197810877,0.64,0.461,1.79E-57,2,NMT1
TRIM541,1.39E-58,0.264790303,0.717,0.549,2.91E-54,2,TRIM54
SH3BP11,4.47E-56,0.537337415,0.416,0.295,9.37E-52,2,SH3BP1
SCCPDH1,6.62E-56,0.426301266,0.308,0.194,1.39E-51,2,SCCPDH
KCNB11,2.43E-52,0.460543283,0.469,0.342,5.10E-48,2,KCNB1
LINC005291,1.20E-46,1.230154508,0.139,0.073,2.51E-42,2,LINC00529
ATP1B31,1.23E-46,0.958791882,0.171,0.096,2.58E-42,2,ATP1B3
ZNHIT12,6.04E-44,0.636872093,0.24,0.152,1.27E-39,2,ZNHIT1
TPO1,9.41E-41,0.60733989,0.163,0.093,1.97E-36,2,TPO
USO11,1.08E-40,1.060379385,0.138,0.076,2.26E-36,2,USO1
BFSP2-AS11,2.24E-30,0.556126327,0.234,0.16,4.69E-26,2,BFSP2-AS1
PSMB101,2.73E-29,0.495479582,0.358,0.271,5.73E-25,2,PSMB10
LINC024132,2.37E-25,0.935921705,0.144,0.093,4.98E-21,2,LINC02413
TKT1,4.87E-23,0.183953397,0.095,0.054,1.02E-18,2,TKT
PAK41,9.59E-19,1.332408605,0.078,0.045,2.01E-14,2,PAK4
SH3BP21,7.39E-16,0.720973977,0.147,0.105,1.55E-11,2,SH3BP2
MAP2K21,4.03E-14,0.7930055,0.076,0.048,8.44E-10,2,MAP2K2
RAB131,1.72E-13,0.20963369,0.051,0.029,3.61E-09,2,RAB13
AMPD31,8.30E-13,0.697865306,0.121,0.087,1.74E-08,2,AMPD3
GPATCH22,2.53E-11,0.580379343,0.141,0.107,5.30E-07,2,GPATCH2
PFDN61,3.11E-10,0.345254042,0.166,0.129,6.52E-06,2,PFDN6
RHBG1,4.38E-10,0.939301497,0.072,0.048,9.19E-06,2,RHBG
TUBGCP31,1.42E-09,0.910625654,0.048,0.03,2.97E-05,2,TUBGCP3
POSTN1,1.42E-08,0.341728973,0.057,0.037,0.000298193,2,POSTN
PGRMC21,1.26E-07,0.774052859,0.049,0.032,0.00264019,2,PGRMC2
MSTO11,3.91E-07,0.128440206,0.456,0.403,0.008201433,2,MSTO1
MIRLET7BHG1,1.69E-06,0.457782248,0.063,0.046,0.035482988,2,MIRLET7BHG
FOXJ22,3.39E-05,0.351741481,0.133,0.112,0.711322861,2,FOXJ2
CR1-AS1,6.74E-05,0.382640302,0.063,0.048,1,2,CR1-AS1
MEDAG1,0.000100537,0.785964963,0.028,0.019,1,2,MEDAG
RHBDL21,0.000174102,0.361544944,0.148,0.129,1,2,RHBDL2
FNDC101,0.001461208,0.704202435,0.055,0.044,1,2,FNDC10
HPCAL41,0.001688793,0.875558944,0.027,0.019,1,2,HPCAL4
C12orf571,0.00411345,0.151088302,0.149,0.132,1,2,C12orf57
MROCKI1,0.007053498,0.582273275,0.148,0.137,1,2,MROCKI
