,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SAMSN1-AS15,1.28E-210,1.699346382,0.713,0.301,2.69E-206,13,SAMSN1-AS1
SMAGP4,2.02E-207,1.959168279,0.54,0.195,4.24E-203,13,SMAGP
ABHD12B5,1.09E-206,2.1722947,0.438,0.133,2.28E-202,13,ABHD12B
PAAF13,5.82E-203,1.507107697,0.443,0.124,1.22E-198,13,PAAF1
CYTH33,5.96E-199,1.732863989,0.287,0.06,1.25E-194,13,CYTH3
LARS21,1.52E-195,2.224004154,0.16,0.021,3.19E-191,13,LARS2
ZNF5896,2.25E-195,1.545046326,0.674,0.288,4.72E-191,13,ZNF589
CNTROB4,1.60E-194,1.76549204,0.59,0.246,3.35E-190,13,CNTROB
XRCC63,1.88E-194,1.649780107,0.309,0.069,3.94E-190,13,XRCC6
PCBP33,3.26E-193,2.50160121,0.349,0.093,6.85E-189,13,PCBP3
ACSL12,3.82E-192,1.876552972,0.506,0.189,8.00E-188,13,ACSL1
BUB15,2.74E-189,2.356506471,0.278,0.061,5.75E-185,13,BUB1
EPDR13,4.13E-186,1.352843735,0.449,0.132,8.67E-182,13,EPDR1
CCDC62,1.27E-185,1.870951536,0.329,0.081,2.65E-181,13,CCDC6
SLC35A41,1.22E-184,2.287614043,0.291,0.068,2.56E-180,13,SLC35A4
LINC020264,3.29E-182,1.536955888,0.395,0.112,6.91E-178,13,LINC02026
KIZ2,7.33E-181,1.461786769,0.274,0.059,1.54E-176,13,KIZ
ST6GALNAC51,7.82E-181,2.552981463,0.129,0.015,1.64E-176,13,ST6GALNAC5
SLC44A51,4.44E-178,2.236425916,0.225,0.044,9.32E-174,13,SLC44A5
TXLNA2,1.34E-177,4.017956682,0.17,0.027,2.82E-173,13,TXLNA
SP1003,7.28E-176,2.373121998,0.172,0.026,1.53E-171,13,SP100
CDC42EP32,7.00E-173,2.029283859,0.249,0.052,1.47E-168,13,CDC42EP3
ACKR34,2.76E-172,1.8221402,0.486,0.18,5.78E-168,13,ACKR3
VAV35,4.10E-172,1.286208858,0.647,0.275,8.60E-168,13,VAV3
TYRP13,1.16E-170,1.69361229,0.416,0.135,2.42E-166,13,TYRP1
PGRMC12,2.13E-169,3.169096563,0.121,0.014,4.48E-165,13,PGRMC1
CDC733,1.06E-167,1.596654879,0.543,0.219,2.23E-163,13,CDC73
NLRP2B3,1.37E-163,2.02744361,0.246,0.054,2.88E-159,13,NLRP2B
OLFM14,3.00E-163,1.39948517,0.577,0.238,6.29E-159,13,OLFM1
CELA2B1,3.98E-161,2.026746615,0.401,0.138,8.35E-157,13,CELA2B
GUCY1A25,2.63E-160,1.347788815,0.528,0.207,5.51E-156,13,GUCY1A2
TFAM4,7.86E-159,1.837542432,0.33,0.091,1.65E-154,13,TFAM
EDNRB-AS13,1.79E-158,1.570079774,0.64,0.329,3.75E-154,13,EDNRB-AS1
PRKCQ3,1.68E-156,1.805802316,0.202,0.038,3.53E-152,13,PRKCQ
BPIFA23,1.01E-155,2.671642104,0.207,0.042,2.11E-151,13,BPIFA2
INVS3,3.55E-155,2.259956553,0.33,0.097,7.44E-151,13,INVS
FOXC23,3.68E-150,1.878956695,0.307,0.086,7.72E-146,13,FOXC2
RBMS3-AS33,1.32E-149,1.328038176,0.754,0.495,2.76E-145,13,RBMS3-AS3
METTL165,1.44E-148,2.238799515,0.36,0.117,3.03E-144,13,METTL16
FAM168B1,5.54E-144,2.406616313,0.244,0.06,1.16E-139,13,FAM168B
ATF23,2.03E-143,3.561761481,0.124,0.017,4.26E-139,13,ATF2
HMGCS12,3.94E-138,3.024798459,0.183,0.037,8.27E-134,13,HMGCS1
FAM120B3,3.23E-136,2.355279564,0.258,0.069,6.77E-132,13,FAM120B
KLF65,2.42E-135,1.884282144,0.219,0.049,5.06E-131,13,KLF6
UBE2S3,7.41E-135,1.393992554,0.324,0.097,1.55E-130,13,UBE2S
AGTPBP12,3.91E-134,2.311367342,0.169,0.032,8.21E-130,13,AGTPBP1
FLOT23,1.19E-133,2.417813117,0.333,0.111,2.51E-129,13,FLOT2
ZNF3653,1.36E-132,1.551266086,0.334,0.105,2.84E-128,13,ZNF365
LIF1,7.12E-131,3.275390531,0.07,0.006,1.49E-126,13,LIF
C1orf1413,3.07E-130,2.151261828,0.186,0.039,6.43E-126,13,C1orf141
CFAP61-AS14,5.39E-130,0.764953298,0.863,0.632,1.13E-125,13,CFAP61-AS1
GJB24,1.14E-126,1.775792182,0.396,0.153,2.39E-122,13,GJB2
ANKRD20A2P3,2.38E-124,1.906663468,0.154,0.028,4.98E-120,13,ANKRD20A2P
GZMH2,5.92E-122,4.064383693,0.085,0.01,1.24E-117,13,GZMH
SOX33,2.90E-120,1.52378912,0.271,0.077,6.08E-116,13,SOX3
GDF113,2.65E-119,3.558740778,0.11,0.016,5.57E-115,13,GDF11
TRAF3IP2-AS11,5.34E-119,1.883920651,0.123,0.02,1.12E-114,13,TRAF3IP2-AS1
PPP6C1,6.51E-118,5.008140966,0.041,0.002,1.36E-113,13,PPP6C
SLC35D24,1.08E-117,1.293202103,0.687,0.395,2.27E-113,13,SLC35D2
HRC1,1.24E-117,2.24311425,0.26,0.078,2.60E-113,13,HRC
LRP5L3,6.79E-117,1.413245104,0.503,0.23,1.42E-112,13,LRP5L
LRRC37A36,1.83E-116,0.488220174,0.763,0.36,3.83E-112,13,LRRC37A3
EDF14,3.83E-114,1.098067258,0.643,0.341,8.04E-110,13,EDF1
ATXN32,4.32E-113,2.236754994,0.119,0.019,9.05E-109,13,ATXN3
TFRC1,4.19E-111,1.890646159,0.343,0.131,8.78E-107,13,TFRC
EDC33,7.22E-111,2.155131671,0.288,0.096,1.51E-106,13,EDC3
ABHD182,2.55E-110,2.510021112,0.158,0.033,5.35E-106,13,ABHD18
ARHGAP212,3.22E-110,3.178606367,0.087,0.011,6.76E-106,13,ARHGAP21
CLEC4E3,7.02E-110,1.603186242,0.379,0.15,1.47E-105,13,CLEC4E
APOBEC44,1.45E-109,2.038028339,0.263,0.082,3.05E-105,13,APOBEC4
LINC020271,2.61E-109,3.423608191,0.042,0.002,5.47E-105,13,LINC02027
MOGS5,1.16E-108,0.47321962,0.623,0.287,2.42E-104,13,MOGS
ATP11B1,1.74E-106,2.403078638,0.099,0.014,3.65E-102,13,ATP11B
CLEC4M3,2.03E-106,1.081616658,0.511,0.235,4.26E-102,13,CLEC4M
H2AZ2-DT5,6.60E-105,1.079952036,0.557,0.271,1.38E-100,13,H2AZ2-DT
TMEM2672,2.90E-103,2.724659822,0.212,0.06,6.09E-99,13,TMEM267
FPGS3,1.04E-102,1.26324909,0.232,0.065,2.18E-98,13,FPGS
SLC38A82,5.38E-100,1.634772592,0.137,0.027,1.13E-95,13,SLC38A8
RBIS5,3.56E-98,0.791106042,0.587,0.284,7.47E-94,13,RBIS
LINC018184,4.01E-95,1.716209531,0.348,0.14,8.41E-91,13,LINC01818
MINDY15,9.21E-95,1.100525366,0.382,0.153,1.93E-90,13,MINDY1
ZNF2501,1.52E-92,1.513186406,0.402,0.19,3.18E-88,13,ZNF250
TACC15,2.00E-92,1.122337917,0.32,0.116,4.19E-88,13,TACC1
LINC008454,9.44E-92,1.295691172,0.328,0.124,1.98E-87,13,LINC00845
ZNF4621,2.16E-91,2.834524435,0.104,0.018,4.53E-87,13,ZNF462
KCNIP24,8.00E-90,1.456737978,0.601,0.369,1.68E-85,13,KCNIP2
NDUFC23,4.02E-85,1.495429622,0.117,0.023,8.43E-81,13,NDUFC2
MAB21L33,7.28E-85,0.342693347,0.355,0.131,1.53E-80,13,MAB21L3
SPECC1L2,4.43E-82,1.333290685,0.315,0.123,9.29E-78,13,SPECC1L
DPRX2,2.30E-81,1.713603564,0.35,0.16,4.82E-77,13,DPRX
KAZALD13,1.22E-80,1.34747977,0.296,0.115,2.56E-76,13,KAZALD1
MTA23,3.06E-79,2.394519582,0.098,0.018,6.41E-75,13,MTA2
ABHD123,6.01E-79,1.969527555,0.344,0.154,1.26E-74,13,ABHD12
TSC11,1.14E-77,1.737355423,0.245,0.09,2.38E-73,13,TSC1
CCDC1414,2.96E-76,1.200757951,0.442,0.222,6.21E-72,13,CCDC141
MALL3,1.35E-75,1.124192168,0.454,0.232,2.83E-71,13,MALL
SLC18B13,9.69E-74,3.257551698,0.067,0.01,2.03E-69,13,SLC18B1
ADGRA1-AS13,1.16E-73,1.123952569,0.229,0.077,2.43E-69,13,ADGRA1-AS1
CNTF2,4.50E-73,1.074687717,0.318,0.131,9.44E-69,13,CNTF
ANO64,6.31E-73,1.910255305,0.243,0.091,1.32E-68,13,ANO6
ERICH6B2,1.19E-72,1.657521654,0.214,0.073,2.50E-68,13,ERICH6B
GZF11,1.50E-72,3.199365076,0.036,0.003,3.15E-68,13,GZF1
HORMAD23,2.94E-71,1.183960941,0.519,0.316,6.16E-67,13,HORMAD2
TIMM501,1.07E-70,2.985746736,0.041,0.004,2.24E-66,13,TIMM50
NPHP42,2.36E-70,0.676945431,0.288,0.111,4.94E-66,13,NPHP4
OPRL11,1.49E-69,2.158553166,0.071,0.011,3.13E-65,13,OPRL1
GPATCH114,5.10E-67,1.769153181,0.186,0.061,1.07E-62,13,GPATCH11
P2RX73,1.62E-66,1.629903008,0.148,0.042,3.40E-62,13,P2RX7
EFR3B6,3.84E-66,0.777898915,0.803,0.617,8.05E-62,13,EFR3B
CFAP524,1.59E-65,0.971116003,0.414,0.206,3.34E-61,13,CFAP52
HENMT12,6.34E-65,3.387476744,0.104,0.024,1.33E-60,13,HENMT1
CTNNAL14,2.98E-63,1.324235889,0.372,0.187,6.24E-59,13,CTNNAL1
RNF1804,1.05E-62,1.245796231,0.369,0.185,2.21E-58,13,RNF180
SLC25A211,4.02E-62,2.296358113,0.05,0.007,8.42E-58,13,SLC25A21
DENND5B3,3.31E-61,3.308458207,0.158,0.051,6.93E-57,13,DENND5B
CCDC1344,4.75E-61,1.900458294,0.215,0.083,9.96E-57,13,CCDC134
MAML24,5.49E-60,1.915245638,0.376,0.207,1.15E-55,13,MAML2
SNX9-AS13,5.53E-60,2.016763094,0.186,0.066,1.16E-55,13,SNX9-AS1
DDX63,1.15E-59,1.508515872,0.265,0.116,2.42E-55,13,DDX6
UBE2D15,7.08E-59,0.982117968,0.524,0.322,1.49E-54,13,UBE2D1
SEC14L61,7.90E-59,2.635259204,0.04,0.004,1.66E-54,13,SEC14L6
CHMP36,5.90E-58,0.885138593,0.516,0.309,1.24E-53,13,CHMP3
ATG32,2.89E-57,1.384401029,0.194,0.07,6.07E-53,13,ATG3
AIP1,5.29E-57,1.758553952,0.062,0.01,1.11E-52,13,AIP
LINC006325,2.76E-56,1.211696996,0.205,0.076,5.78E-52,13,LINC00632
AKIP15,3.07E-56,2.002340295,0.315,0.159,6.44E-52,13,AKIP1
DPP95,1.79E-54,1.640006899,0.184,0.067,3.75E-50,13,DPP9
HGFAC3,3.92E-54,1.512568723,0.213,0.084,8.21E-50,13,HGFAC
ADAMTSL33,6.71E-54,0.738347254,0.421,0.236,1.41E-49,13,ADAMTSL3
GCK3,7.45E-54,2.542136047,0.122,0.036,1.56E-49,13,GCK
TOX-DT3,1.49E-51,2.161441384,0.05,0.008,3.12E-47,13,TOX-DT
ACRV14,1.31E-50,1.215019948,0.348,0.183,2.75E-46,13,ACRV1
CEACAM45,4.27E-50,0.321866959,0.318,0.148,8.96E-46,13,CEACAM4
RHOB4,8.42E-50,0.104175425,0.414,0.209,1.77E-45,13,RHOB
TCTE13,5.56E-49,1.034008696,0.233,0.099,1.17E-44,13,TCTE1
RUBCN3,2.15E-48,1.216078563,0.432,0.265,4.51E-44,13,RUBCN
ATP8B33,3.03E-48,1.714540113,0.1,0.027,6.36E-44,13,ATP8B3
TMEM1634,2.16E-47,0.239952456,0.369,0.18,4.52E-43,13,TMEM163
LAMTOR33,3.85E-46,0.23579319,0.659,0.403,8.08E-42,13,LAMTOR3
TERF12,9.54E-45,0.525634818,0.223,0.092,2.00E-40,13,TERF1
FAM135A-AS11,1.45E-44,2.636047139,0.036,0.005,3.03E-40,13,FAM135A-AS1
LYRM4-AS11,2.10E-44,3.271024392,0.021,0.002,4.41E-40,13,LYRM4-AS1
SLC52A12,2.43E-44,1.421262483,0.473,0.355,5.10E-40,13,SLC52A1
TMEM2301,1.87E-43,2.771044978,0.036,0.005,3.93E-39,13,TMEM230
ETNK13,2.20E-43,2.038567202,0.105,0.031,4.61E-39,13,ETNK1
MMADHC6,1.11E-42,0.671120313,0.514,0.324,2.33E-38,13,MMADHC
BICDL25,1.56E-42,0.5268356,0.587,0.372,3.27E-38,13,BICDL2
CCR34,2.70E-42,0.178469733,0.669,0.43,5.66E-38,13,CCR3
EIF1AD4,2.85E-42,1.626088783,0.294,0.161,5.97E-38,13,EIF1AD
GALNS1,4.06E-42,1.488862966,0.169,0.068,8.51E-38,13,GALNS
CD81-AS13,4.66E-41,2.073100284,0.115,0.038,9.77E-37,13,CD81-AS1
IL10RA3,3.63E-40,1.100386573,0.247,0.119,7.61E-36,13,IL10RA
ASB73,6.15E-39,0.872713244,0.145,0.053,1.29E-34,13,ASB7
TBC1D304,9.31E-39,0.818776355,0.31,0.168,1.95E-34,13,TBC1D30
LPIN24,1.56E-38,0.935751899,0.35,0.198,3.27E-34,13,LPIN2
LRRC452,2.33E-38,1.668344198,0.112,0.037,4.88E-34,13,LRRC45
PUSL13,4.25E-38,1.137004305,0.121,0.041,8.90E-34,13,PUSL1
FBXO301,5.58E-37,2.314940981,0.047,0.009,1.17E-32,13,FBXO30
MPZL23,2.21E-35,0.893633794,0.299,0.162,4.63E-31,13,MPZL2
WDR765,3.17E-33,0.97561113,0.331,0.2,6.65E-29,13,WDR76
MICU34,3.64E-33,2.070731853,0.137,0.057,7.63E-29,13,MICU3
DRD51,4.15E-33,3.003285307,0.075,0.022,8.71E-29,13,DRD5
KCNK132,8.02E-33,0.160054219,0.18,0.078,1.68E-28,13,KCNK13
ZNF5142,1.60E-32,1.695677033,0.067,0.018,3.35E-28,13,ZNF514
ARID3A4,3.94E-32,0.968126227,0.222,0.111,8.26E-28,13,ARID3A
RNF46,7.54E-31,0.915154416,0.33,0.204,1.58E-26,13,RNF4
OR2T125,8.32E-31,0.876749117,0.232,0.12,1.75E-26,13,OR2T12
ATG4C2,1.20E-30,2.070835278,0.025,0.003,2.51E-26,13,ATG4C
CALHM42,4.55E-29,2.02897931,0.048,0.011,9.53E-25,13,CALHM4
TRIM225,6.69E-28,0.608557878,0.412,0.265,1.40E-23,13,TRIM22
CCZ1B1,6.92E-27,3.246255505,0.016,0.002,1.45E-22,13,CCZ1B
PRP4K3,1.16E-26,1.510688009,0.186,0.096,2.43E-22,13,PRP4K
ARHGAP54,4.04E-25,1.870026307,0.149,0.072,8.47E-21,13,ARHGAP5
MYO7B2,8.73E-24,0.381006361,0.166,0.079,1.83E-19,13,MYO7B
TMEM1774,3.03E-22,1.072205331,0.21,0.12,6.36E-18,13,TMEM177
LINC027154,8.24E-22,1.836075217,0.062,0.021,1.73E-17,13,LINC02715
C1orf1592,1.80E-21,1.466560878,0.096,0.04,3.78E-17,13,C1orf159
OBI14,2.25E-21,2.060088593,0.093,0.039,4.72E-17,13,OBI1
RAD51C2,5.06E-21,2.276338118,0.136,0.07,1.06E-16,13,RAD51C
BBS125,1.24E-20,0.294915085,0.571,0.428,2.61E-16,13,BBS12
LINC018192,1.29E-20,1.952650497,0.033,0.008,2.71E-16,13,LINC01819
RGCC4,2.86E-20,0.90608334,0.258,0.162,6.00E-16,13,RGCC
NPIPA11,4.97E-20,2.525878488,0.026,0.005,1.04E-15,13,NPIPA1
PIWIL43,2.99E-19,1.131902662,0.194,0.112,6.26E-15,13,PIWIL4
HTR2B4,3.41E-19,0.943586206,0.235,0.145,7.16E-15,13,HTR2B
SEPSECS2,5.70E-19,2.370510524,0.044,0.013,1.19E-14,13,SEPSECS
PDZD84,1.18E-17,1.195030124,0.217,0.137,2.47E-13,13,PDZD8
UTP14A4,3.29E-16,0.575790339,0.106,0.051,6.90E-12,13,UTP14A
CA111,8.92E-16,0.629374552,0.186,0.11,1.87E-11,13,CA11
POLA16,1.27E-15,1.491989404,0.081,0.036,2.66E-11,13,POLA1
REV12,5.04E-15,1.996467181,0.038,0.012,1.06E-10,13,REV1
CTRC2,6.74E-15,1.96137726,0.031,0.009,1.41E-10,13,CTRC
SLC31A22,1.18E-14,2.745874904,0.144,0.087,2.47E-10,13,SLC31A2
ATP5MJ5,1.14E-13,0.137608989,0.771,0.631,2.38E-09,13,ATP5MJ
MYL42,1.36E-13,3.32300758,0.047,0.018,2.86E-09,13,MYL4
DZANK13,5.64E-13,0.214102294,0.139,0.077,1.18E-08,13,DZANK1
MED11,2.09E-12,2.252748743,0.01,0.002,4.38E-08,13,MED1
SMTN3,3.47E-12,1.785738374,0.061,0.027,7.27E-08,13,SMTN
NF11,3.94E-12,0.659415782,0.13,0.075,8.26E-08,13,NF1
PDE2A2,1.16E-11,0.526639948,0.066,0.03,2.42E-07,13,PDE2A
COMMD64,1.33E-11,1.192570969,0.106,0.059,2.80E-07,13,COMMD6
CATSPER12,2.05E-11,1.093581081,0.082,0.042,4.30E-07,13,CATSPER1
ZNF1333,4.51E-11,0.500027381,0.142,0.087,9.47E-07,13,ZNF133
SNRNP403,5.51E-11,0.422090141,0.467,0.388,1.16E-06,13,SNRNP40
ABCC93,5.68E-11,1.29384424,0.031,0.011,1.19E-06,13,ABCC9
VPS4A4,1.85E-10,0.931270252,0.116,0.069,3.88E-06,13,VPS4A
MRAP22,1.93E-10,1.427406846,0.038,0.015,4.05E-06,13,MRAP2
ARSB3,4.25E-10,0.816951889,0.348,0.295,8.92E-06,13,ARSB
NOL33,4.90E-10,0.279219973,0.16,0.104,1.03E-05,13,NOL3
TDRD12,5.77E-10,0.45715313,0.146,0.091,1.21E-05,13,TDRD1
PLPPR15,6.17E-10,0.558937314,0.232,0.165,1.29E-05,13,PLPPR1
FYB11,1.07E-09,2.984078404,0.04,0.017,2.25E-05,13,FYB1
SHKBP13,1.14E-09,1.6004781,0.063,0.032,2.38E-05,13,SHKBP1
B4GALT11,1.85E-09,2.187852722,0.012,0.003,3.87E-05,13,B4GALT1
SCRG14,1.99E-09,0.668342819,0.162,0.108,4.17E-05,13,SCRG1
LPCAT32,2.68E-09,0.938978889,0.15,0.1,5.62E-05,13,LPCAT3
CDC163,3.54E-09,1.623588218,0.05,0.024,7.42E-05,13,CDC16
SIGLEC155,1.96E-08,0.251689214,0.288,0.217,0.000412075,13,SIGLEC15
DGLUCY4,2.98E-08,0.906285297,0.232,0.175,0.000625409,13,DGLUCY
LIPA5,7.11E-08,0.403463973,0.441,0.369,0.001491554,13,LIPA
FANCD22,9.01E-08,1.53306819,0.01,0.002,0.001889789,13,FANCD2
LYL15,1.17E-07,0.598750029,0.453,0.382,0.002448577,13,LYL1
TTC326,4.72E-07,0.369925144,0.212,0.158,0.00989528,13,TTC32
KIF234,5.28E-07,0.776927767,0.16,0.117,0.011070685,13,KIF23
HSPA26,1.57E-06,0.16407043,0.631,0.545,0.03301687,13,HSPA2
CPSF33,2.00E-06,1.251011119,0.071,0.043,0.041985178,13,CPSF3
HMCN12,2.50E-06,0.691453693,0.191,0.148,0.05237554,13,HMCN1
COMMD12,3.80E-06,0.77578906,0.171,0.13,0.079755148,13,COMMD1
UFSP25,6.54E-06,0.324473822,0.247,0.199,0.137247896,13,UFSP2
ASAP14,6.60E-06,0.558597592,0.202,0.157,0.138430416,13,ASAP1
PDZK1IP13,7.35E-06,0.65570767,0.198,0.153,0.154176895,13,PDZK1IP1
HACL11,1.25E-05,3.211045878,0.01,0.003,0.262314608,13,HACL1
TDRKH-AS13,1.80E-05,1.136644857,0.135,0.103,0.377812479,13,TDRKH-AS1
DIPK1B3,6.40E-05,0.139648599,0.458,0.394,1,13,DIPK1B
IMPA18,6.53E-05,0.14496322,0.272,0.219,1,13,IMPA1
SCT4,0.000102376,0.22150071,0.135,0.101,1,13,SCT
TTC293,0.00010474,1.262783666,0.084,0.059,1,13,TTC29
SACS4,0.000219701,1.60883711,0.029,0.016,1,13,SACS
SPMIP24,0.000237496,0.791409115,0.137,0.107,1,13,SPMIP2
KCNS23,0.000254121,0.451020977,0.181,0.148,1,13,KCNS2
CRHR24,0.000260808,1.082374594,0.036,0.021,1,13,CRHR2
EPM2A-DT2,0.000587128,2.035676512,0.019,0.009,1,13,EPM2A-DT
CCDC1583,0.000657673,1.466299052,0.006,0.02,1,13,CCDC158
ZNF3343,0.000926574,1.474732767,0.087,0.065,1,13,ZNF334
PDE8A2,0.000953771,0.211447225,0.035,0.059,1,13,PDE8A
DACT23,0.001046775,0.889727725,0.066,0.046,1,13,DACT2
ARHGEF404,0.001309024,0.390421319,0.039,0.024,1,13,ARHGEF40
PRKACA3,0.00147072,0.23720571,0.096,0.071,1,13,PRKACA
PNRC23,0.00156216,0.977649819,0.022,0.012,1,13,PNRC2
TPP15,0.002129564,0.135152861,0.232,0.198,1,13,TPP1
OSGEPL12,0.002286875,1.483305648,0.047,0.032,1,13,OSGEPL1
TNFRSF214,0.004184532,0.337534121,0.167,0.138,1,13,TNFRSF21
TOR3A3,0.006970214,0.120664815,0.017,0.032,1,13,TOR3A
XRCC1,0.00816324,1.112142768,0.016,0.009,1,13,XRCC1
AGO24,0.009611258,1.044139353,0.219,0.205,1,13,AGO2
ZNF4087,0.009642992,0.562548529,0.171,0.151,1,13,ZNF408
FA2H1,1.09E-131,5.291692449,0.115,0.01,2.28E-127,14,FA2H
NUDT172,4.30E-128,1.482521289,0.552,0.175,9.01E-124,14,NUDT17
DPYSL43,4.29E-85,2.923832002,0.344,0.111,8.99E-81,14,DPYSL4
SPDYA2,6.18E-84,2.720881695,0.356,0.116,1.30E-79,14,SPDYA
TNFRSF14-AS13,5.11E-79,2.1500647,0.532,0.238,1.07E-74,14,TNFRSF14-AS1
LINC006582,4.87E-61,3.952865753,0.164,0.039,1.02E-56,14,LINC00658
ARR34,4.54E-60,0.644218222,0.904,0.554,9.52E-56,14,ARR3
AP1G22,1.10E-55,3.128406118,0.27,0.096,2.30E-51,14,AP1G2
SDC43,1.58E-52,0.851342501,0.569,0.291,3.31E-48,14,SDC4
GAD22,2.78E-51,2.353891167,0.308,0.121,5.83E-47,14,GAD2
CHKA2,7.67E-51,1.839600974,0.222,0.07,1.61E-46,14,CHKA
CDH152,9.03E-51,2.97511902,0.151,0.038,1.89E-46,14,CDH15
PELI22,2.48E-50,4.071986188,0.189,0.057,5.20E-46,14,PELI2
PACRG3,5.08E-44,3.198133579,0.325,0.146,1.06E-39,14,PACRG
SLC31A23,4.42E-43,2.640734582,0.233,0.086,9.27E-39,14,SLC31A2
LINC004745,2.29E-40,0.72293273,0.872,0.64,4.79E-36,14,LINC00474
GHR3,2.33E-39,1.168463597,0.465,0.243,4.89E-35,14,GHR
TXNDC92,2.21E-38,1.772816774,0.197,0.068,4.63E-34,14,TXNDC9
FFAR44,2.26E-35,2.136318278,0.227,0.09,4.73E-31,14,FFAR4
EP300-AS12,3.15E-35,3.61770152,0.096,0.022,6.60E-31,14,EP300-AS1
HMGB13,5.71E-35,1.322913238,0.399,0.203,1.20E-30,14,HMGB1
TCTE14,5.51E-34,2.528807294,0.238,0.1,1.16E-29,14,TCTE1
UBTD23,5.17E-33,1.64511075,0.356,0.183,1.08E-28,14,UBTD2
ERCC32,1.09E-32,1.974992128,0.252,0.109,2.28E-28,14,ERCC3
ZNF3262,1.24E-32,3.079390951,0.2,0.079,2.61E-28,14,ZNF326
NCR3LG12,1.87E-32,2.56458056,0.24,0.106,3.91E-28,14,NCR3LG1
TCF202,4.41E-32,1.10633697,0.492,0.296,9.26E-28,14,TCF20
SESN32,3.03E-31,1.522574272,0.304,0.144,6.36E-27,14,SESN3
CAMK2N23,4.93E-31,1.170901332,0.47,0.265,1.03E-26,14,CAMK2N2
MKI673,1.06E-30,1.993004714,0.308,0.156,2.21E-26,14,MKI67
IDO13,1.17E-30,1.937991151,0.349,0.185,2.46E-26,14,IDO1
UBAP22,8.04E-29,2.614962285,0.194,0.08,1.69E-24,14,UBAP2
MAP3K63,4.41E-28,1.247383885,0.494,0.307,9.25E-24,14,MAP3K6
SAYSD13,6.00E-28,1.137436796,0.319,0.159,1.26E-23,14,SAYSD1
GNPAT3,6.53E-28,2.023266635,0.26,0.126,1.37E-23,14,GNPAT
ZDHHC243,1.99E-27,0.57644227,0.733,0.548,4.18E-23,14,ZDHHC24
HRCT17,2.83E-27,1.250958835,0.521,0.356,5.93E-23,14,HRCT1
C19orf123,4.45E-27,1.654440426,0.248,0.115,9.33E-23,14,C19orf12
POLR3GL3,9.98E-27,0.377632483,0.454,0.235,2.09E-22,14,POLR3GL
SPR2,1.75E-26,1.418274012,0.278,0.136,3.67E-22,14,SPR
UHRF24,4.62E-26,1.412885174,0.334,0.182,9.69E-22,14,UHRF2
ZNF912,5.59E-26,1.181356391,0.284,0.138,1.17E-21,14,ZNF91
KAZALD14,5.69E-26,2.232153714,0.244,0.118,1.19E-21,14,KAZALD1
LINC026943,2.02E-25,0.236113105,0.429,0.228,4.24E-21,14,LINC02694
SLC38A23,2.09E-25,2.98420575,0.273,0.147,4.38E-21,14,SLC38A2
NANOGNB4,3.04E-25,2.932733021,0.112,0.036,6.37E-21,14,NANOGNB
PTGIS3,3.39E-25,2.512836289,0.156,0.06,7.10E-21,14,PTGIS
FCMR2,3.93E-25,0.566346308,0.312,0.156,8.24E-21,14,FCMR
NOL4L3,6.08E-25,1.373972629,0.473,0.291,1.27E-20,14,NOL4L
ARSK3,9.67E-25,0.833284738,0.402,0.218,2.03E-20,14,ARSK
CD522,5.52E-24,3.609491785,0.035,0.005,1.16E-19,14,CD52
APCDD1L2,9.73E-24,2.048157813,0.199,0.089,2.04E-19,14,APCDD1L
LSM54,1.07E-23,2.135539414,0.297,0.164,2.24E-19,14,LSM5
TRMU3,1.16E-23,0.725732752,0.344,0.176,2.44E-19,14,TRMU
CLIP23,2.44E-23,1.658586078,0.349,0.205,5.11E-19,14,CLIP2
LINC017413,2.60E-23,2.214023497,0.24,0.12,5.44E-19,14,LINC01741
NT5DC34,3.22E-23,0.822386045,0.338,0.183,6.75E-19,14,NT5DC3
LINC009603,4.35E-23,2.547923455,0.164,0.069,9.11E-19,14,LINC00960
POGZ2,8.08E-23,2.567942993,0.203,0.097,1.70E-18,14,POGZ
PAXBP13,8.12E-23,2.30458559,0.232,0.117,1.70E-18,14,PAXBP1
UPF3A2,2.27E-22,1.169875226,0.278,0.139,4.77E-18,14,UPF3A
MKRN23,2.77E-22,1.796601594,0.32,0.188,5.81E-18,14,MKRN2
YME1L12,3.59E-22,2.24759433,0.191,0.087,7.52E-18,14,YME1L1
PABPC42,3.73E-22,2.521753865,0.14,0.055,7.83E-18,14,PABPC4
FKBP1A3,1.26E-21,1.455238782,0.306,0.172,2.64E-17,14,FKBP1A
ACOT16,2.78E-21,0.732939915,0.543,0.345,5.83E-17,14,ACOT1
TMEM2383,6.23E-21,1.075702079,0.309,0.17,1.31E-16,14,TMEM238
GHITM4,8.71E-21,2.113257667,0.295,0.171,1.83E-16,14,GHITM
MRPS223,1.25E-20,2.129165043,0.246,0.131,2.63E-16,14,MRPS22
SEMA6C2,2.70E-20,2.465765223,0.155,0.067,5.66E-16,14,SEMA6C
TPCN23,5.33E-20,0.767841337,0.345,0.194,1.12E-15,14,TPCN2
ANKRD267,5.39E-20,1.085793506,0.517,0.382,1.13E-15,14,ANKRD26
NIPSNAP3A2,9.07E-20,1.711595088,0.219,0.111,1.90E-15,14,NIPSNAP3A
CNPY32,3.98E-19,2.160495583,0.172,0.08,8.35E-15,14,CNPY3
